,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_cadence,average_heartrate,weighted_average_watt,max_watts,commute,trainer,gear_id,sport_type
35,7884234316,Wahoo SYSTM: Sub-Threshold Alternating Cadence: 8 x 3,2022-09-29T07:19:02Z,Ride,27404.3,3300,3300,0,8.304,10.472,79.9,127.0,0,340,False,True,b4532046,Ride
36,7874809717,Dom Pedro,2022-09-27T07:25:45Z,Ride,84298.6,11201,11828,1226.0,7.526,15.92,73.7,133.7,0,725,False,False,b6549732,GravelRide
37,7869255757,Wahoo SYSTM: Crescendo,2022-09-26T07:11:11Z,Ride,30273.5,3487,3487,0,8.682,10.426,87.0,128.2,0,256,False,True,b4532046,Ride
38,7864520393,Wahoo SYSTM: ProRides: Ride London 1,2022-09-25T07:46:32Z,Ride,36051.0,4459,4459,0,8.085,12.292,90.0,123.8,0,637,False,True,b4532046,Ride
39,7860682727,Afternoon Ride,2022-09-24T13:55:28Z,EBikeRide,8080.8,1349,1441,139.0,5.99,12.16,68.2,0.0,0,0,True,False,b9738894,EBikeRide
40,7860056885,Lunch Ride,2022-09-24T12:03:45Z,EBikeRide,7385.2,1246,1651,54.0,5.927,9.34,60.8,0.0,0,0,True,False,b9738894,EBikeRide
41,7860057961,Morning Ride,2022-09-24T07:23:40Z,EBikeRide,11722.5,1725,1790,81.0,6.796,13.16,66.8,0.0,0,0,True,False,b9738894,EBikeRide
42,7854220367,Le Printemps,2022-09-23T06:51:55Z,Ride,80002.5,12367,12959,1326.0,6.469,19.3,67.5,121.5,0,770,False,False,b6549732,GravelRide
43,7851204555,Afternoon Ride,2022-09-22T15:00:27Z,EBikeRide,17437.5,3108,7380,188.0,5.611,14.22,59.9,0.0,0,0,True,False,b9738894,EBikeRide
44,7848733107,Wahoo RGT - Dirty Reiver,2022-09-22T07:39:26Z,VirtualRide,23950.0,4229,4229,319.0,5.663,17.8,83.1,117.7,0,313,False,False,b4532046,VirtualRide
45,7844503742,Morning Ride,2022-09-21T07:53:39Z,EBikeRide,15098.7,2482,11486,216.0,6.083,13.28,65.9,0.0,0,0,True,False,b9738894,EBikeRide
46,7840702548,Afternoon Ride,2022-09-20T17:35:57Z,EBikeRide,13178.0,2179,2335,133.0,6.048,11.24,63.5,0.0,0,0,True,False,b9738894,EBikeRide
47,7839865788,Lunch Ride,2022-09-20T12:16:38Z,EBikeRide,11827.3,1829,1906,91.0,6.467,13.48,66.9,0.0,0,0,True,False,b9738894,EBikeRide
48,7837662961,Wahoo SYSTM: Why Do We Bike?,2022-09-20T07:40:20Z,VirtualRide,27334.5,3323,3323,0,8.226,9.6,90.0,128.8,0,212,False,True,b4532046,VirtualRide
49,7828101307,Giro Gravel RM,2022-09-18T06:56:25Z,Ride,89278.0,11613,12491,1167.0,7.688,18.12,75.6,129.9,0,634,False,False,b6549732,GravelRide
50,7822540447,CGS,2022-09-17T07:26:29Z,Ride,66754.4,9655,12171,921.0,6.914,16.004,69.9,116.5,0,613,False,False,b8223536,Ride
51,7817245599,Giro Gravel,2022-09-16T07:29:58Z,Ride,68732.4,9167,10014,1079.0,7.498,15.8,75.6,143.1,0,604,False,False,b6549732,GravelRide
52,7806978779,Wahoo SYSTM: AC/DC (2 sets of 3 X 20s AC ),2022-09-14T09:58:31Z,VirtualRide,15388.6,2189,2189,0,7.03,11.7,84.4,124.9,0,503,False,True,b4532046,VirtualRide
53,7800653659,Wahoo SYSTM: Open: 60,2022-09-13T07:00:38Z,VirtualRide,28833.7,3613,3613,0,7.981,8.96,86.8,126.4,0,242,False,True,b4532046,VirtualRide
54,7790940810,Coffee Ride,2022-09-11T07:40:20Z,Ride,56961.5,6618,10065,233.0,8.607,14.63,79.5,125.1,0,780,False,False,b8223536,Ride
55,7784652773,Col du SLP,2022-09-10T06:41:38Z,Ride,90115.1,10291,10452,1005.0,8.757,18.936,80.2,133.5,0,717,False,False,b8223536,Ride
56,7781329054,Afternoon Ride,2022-09-09T15:07:10Z,EBikeRide,17653.8,2985,4307,213.0,5.914,14.82,62.3,0.0,0,0,True,False,b9738894,EBikeRide
57,7779688513,Mirante ,2022-09-09T06:29:10Z,Ride,90728.7,11884,12802,1245.0,7.635,18.09,77.5,130.1,0,666,False,False,b8223536,Ride
58,7774922066,Bocaiúva do Sul,2022-09-08T07:13:15Z,Ride,71803.1,12013,13435,1155.0,5.977,15.184,70.5,126.0,0,0,False,False,b5415304,MountainBikeRide
59,7768839449,Wahoo SYSTM: Catalunya: Pt. 2 - Pobla to Coll de Creuetta,2022-09-07T07:32:01Z,VirtualRide,35514.8,4287,4287,0,8.284,10.48,84.7,132.7,0,472,False,True,b4532046,VirtualRide
60,7763532545,Wahoo SYSTM: Heart Flatline to Finish Line,2022-09-06T07:55:49Z,VirtualRide,47564.8,5920,5920,0,8.035,9.36,86.3,123.1,0,231,False,True,b4532046,VirtualRide
61,7758566993,Lunch Ride,2022-09-05T11:31:21Z,EBikeRide,7411.5,1221,1221,139.0,6.07,11.92,69.6,0.0,0,0,True,False,b9738894,EBikeRide
62,7757872140,Morning Ride,2022-09-05T08:57:31Z,EBikeRide,7963.8,1281,1337,94.0,6.217,13.64,65.8,0.0,0,0,True,False,b9738894,EBikeRide
63,7753444366,Quebrado,2022-09-04T08:09:27Z,Ride,82067.6,9720,10164,517.0,8.443,16.119,79.2,138.7,0,609,False,False,b8223536,Ride
64,7742938802,Afternoon Ride,2022-09-02T13:24:42Z,EBikeRide,9327.8,1482,1576,156.0,6.294,12.1,69.4,0.0,0,0,True,False,b9738894,EBikeRide
65,7742303674,Lunch Ride,2022-09-02T11:02:17Z,EBikeRide,8901.3,1379,1394,85.0,6.455,13.42,62.1,0.0,0,0,True,False,b9738894,EBikeRide
66,7741628482,Giro de Sexta,2022-09-02T06:12:07Z,Ride,76017.6,11112,11249,1148.0,6.841,17.8,73.9,128.3,0,785,False,False,b6549732,GravelRide
67,7738902811,Afternoon Ride,2022-09-01T17:11:08Z,EBikeRide,12299.8,1964,1983,135.0,6.263,12.28,65.6,0.0,0,0,True,False,b9738894,EBikeRide
68,7737394485,Lunch Ride,2022-09-01T12:29:37Z,EBikeRide,14774.9,2434,2578,123.0,6.07,14.02,64.1,0.0,0,0,True,False,b9738894,EBikeRide
69,7736587950,MTB de Quinta,2022-09-01T06:26:36Z,Ride,69264.9,11761,14657,1035.0,5.889,14.366,71.2,119.8,0,0,False,False,b5415304,MountainBikeRide
70,7730650392,Wahoo SYSTM: Inspired to Ride,2022-08-31T07:40:52Z,VirtualRide,39508.1,5331,5331,0,7.411,12.0,86.6,116.8,0,203,False,True,b4532046,VirtualRide
71,7724490496,Wahoo SYSTM: Butter,2022-08-30T06:56:00Z,VirtualRide,28912.3,3476,3476,0,8.318,12.14,86.8,132.4,0,556,False,True,b4532046,VirtualRide
72,7714676796,Coffee&Beer,2022-08-28T07:41:44Z,Ride,61030.9,6756,9828,261.0,9.034,14.558,79.7,126.0,0,732,False,False,b8223536,Ride
73,7711054901,Afternoon Ride,2022-08-27T17:57:03Z,EBikeRide,6619.2,915,915,108.0,7.234,11.38,71.6,0.0,0,0,True,False,b9738894,EBikeRide
74,7710399220,Afternoon Ride,2022-08-27T14:53:25Z,EBikeRide,6048.1,852,852,59.0,7.099,15.06,63.1,0.0,0,0,True,False,b9738894,EBikeRide
75,7709535884,Lunch Ride,2022-08-27T12:03:42Z,EBikeRide,14142.0,2078,2131,134.0,6.806,12.54,69.9,0.0,0,0,True,False,b9738894,EBikeRide
76,7707771791,Morning Ride,2022-08-27T07:16:38Z,EBikeRide,12438.7,1673,1673,82.0,7.435,14.38,70.1,0.0,0,0,True,False,b9738894,EBikeRide
77,7705187030,Afternoon Walk,2022-08-26T16:19:43Z,Walk,5511.8,3415,3415,20.0,1.614,2.29,55.3,93.6,0,0,False,False,g2047600,Walk
78,7700157407,Afternoon Ride,2022-08-25T17:22:23Z,EBikeRide,12192.5,1922,2063,135.0,6.344,11.24,68.3,0.0,0,0,True,False,b9738894,EBikeRide
79,7699488836,Lunch Ride,2022-08-25T12:33:29Z,EBikeRide,11778.6,1712,1727,78.0,6.88,13.68,68.8,0.0,0,0,True,False,b9738894,EBikeRide
80,7697669156,Bacaetava,2022-08-25T06:56:41Z,Ride,57073.8,9173,9266,993.0,6.222,14.69,76.7,124.7,0,0,False,False,b5415304,MountainBikeRide
81,7691466724,Wahoo SYSTM: G.O.A.T.,2022-08-24T07:21:55Z,VirtualRide,20491.3,2515,2515,0,8.148,10.52,78.5,127.0,0,338,False,True,b4532046,VirtualRide
82,7685316114,Wahoo SYSTM: Micro Intervals: Equal Work:Rest,2022-08-23T07:09:16Z,VirtualRide,15283.1,1860,1860,0,8.217,11.58,84.2,123.8,0,713,False,True,b4532046,VirtualRide
83,7682938898,Wahoo SYSTM: Catalunya: Girona to Púbol,2022-08-22T17:13:00Z,VirtualRide,31163.7,3625,3625,0,8.597,10.26,84.5,132.2,0,286,False,True,b4532046,VirtualRide
84,7675300035,Morning Walk,2022-08-21T08:38:13Z,Walk,8006.7,5077,5151,27.0,1.577,4.501,53.5,95.8,0,0,False,False,g2047600,Walk
85,7670110434,"Giro de Sábado
",2022-08-20T08:12:06Z,Ride,72320.9,11243,13200,1271.0,6.433,15.974,69.1,130.9,0,591,False,False,b6549732,Ride
86,7658154976,Wahoo SYSTM: 2 sets 4 X 10s sprint,2022-08-18T07:33:55Z,VirtualRide,14869.1,1859,1859,0,7.998,12.26,87.9,113.5,0,678,False,True,b4532046,VirtualRide
87,7652772026,Wahoo SYSTM: Cadence Builds and Holds,2022-08-17T07:41:24Z,VirtualRide,21227.2,2699,2699,0,7.865,9.94,92.0,123.9,0,317,False,True,b4532046,VirtualRide
88,7647619973,MTB de Terça,2022-08-16T06:30:26Z,Ride,71679.6,12124,14174,1162.0,5.912,17.16,69.1,121.0,0,0,False,False,b5415304,MountainBikeRide
89,7636646401,Giro de Domingo ,2022-08-14T07:44:26Z,Ride,66782.9,7818,7995,345.0,8.542,13.664,79.4,125.6,0,496,False,False,b8223536,Ride
90,7631826624,Roça Nova,2022-08-13T07:18:25Z,Ride,102002.0,15306,18922,1112.0,6.664,17.034,70.1,129.6,0,859,False,False,b6549732,Ride
91,7625181654,Wahoo SYSTM: The Trick ,2022-08-12T07:27:09Z,VirtualRide,28756.3,3475,3475,0,8.275,12.9,85.2,132.4,0,672,False,True,b4532046,VirtualRide
92,7622574791,Afternoon Ride,2022-08-11T17:27:10Z,EBikeRide,12391.2,1970,2031,145.6,6.29,11.42,67.9,0.0,0,0,True,False,b9738894,EBikeRide
93,7621388364,Afternoon Ride,2022-08-11T13:34:32Z,EBikeRide,12489.3,2025,2083,114.2,6.168,12.86,63.9,0.0,0,0,True,False,b9738894,EBikeRide
94,7614151565,Wahoo SYSTM: Catalunya: Costa Brava Coastline,2022-08-10T07:46:20Z,VirtualRide,23931.0,2923,2923,0,8.187,10.42,72.6,137.5,0,345,False,True,b4532046,VirtualRide
95,7608310438,Wahoo SYSTM: The Amazing Chase,2022-08-09T08:13:33Z,VirtualRide,14254.0,2025,2025,0,7.039,7.9,87.9,106.6,0,151,False,True,b4532046,VirtualRide
96,7608310440,Wahoo SYSTM: The Frozen Road,2022-08-09T07:46:40Z,VirtualRide,10317.7,1504,1504,0,6.86,7.84,85.5,104.1,0,147,False,True,b4532046,VirtualRide
97,7602555738,Wahoo SYSTM: Half Monty (Ramp Test),2022-08-08T07:30:28Z,VirtualRide,28601.8,3480,3480,0,8.219,11.2,84.1,137.9,0,412,False,True,b4532046,VirtualRide
98,7592130819,"Meio seco, meio molhado",2022-08-06T06:43:34Z,Ride,100159.0,12026,13630,716.0,8.329,15.991,76.5,127.1,0,616,False,False,b8223536,Ride
